Date,ORCL,MSFT,HON,KO,XOM,GD,GE,CHTR,GM,IBM,META,ABBV,PEP,MO,COP,AMGN,CVX,GOOG,AAPL,TXN,CVS,BH,RTX,PG,SO,CAT,CL,BMY,WBA,BA,ABT,LMT,METV,EXC,PFE,EMR,JNJ,MMM,MRK,NEE,F,DIS,DUK,WFC,MCD,JPM,UNP,TGT,BK,DHR,LLY,WMT,NKE,AXP,INTC,BAC,MDT,FDX,AMD,LOW,TMO,VZ,T,USB,HD,AIG,MS,C,SCHW,ADBE,CSCO,QCOM,GILD,SBUX,SPG,COF,MLSS,AMZN,AMT,NVDA,BKNG,GS,COST,BLK,UPS,MET,MDLZ,ACN,NFLX,CMCSA,CRM,GOOGL,MA,TMUS,PM,V,UNH,AVGO,TSLA
1/2/2015,-1.4232,0.6674,0.3103,-0.1895,0.411,0.6031,-0.831,-0.114,-0.2005,1.0097,0.5511,0.6876,-0.1269,-0.6089,-0.2027,0.3767,0.3566,-0.3021,-0.9513,0.0281,-1.2564,0.8761,0.0348,-0.7136,0.5294,0.3824,-0.2168,0.8131,-0.2625,-0.0231,-0.2665,0.3843,#N/A,1.3215,0.5779,0.0972,-0.0478,-0.1582,0.7043,0.3763,-0.9032,-0.4671,0.6105,-0.2189,-0.4696,0.4954,-0.4365,-0.7641,-0.2711,0.0117,1.5509,0.0233,-1.1648,-0.0215,0.1929,0.0559,-0.4432,-0.6968,0.7491,-1.5988,2.2588,0.3848,0.8336,-0.267,-1.4671,0.1785,-0.232,0.2772,0.0994,-0.4952,-0.0539,-0.0673,0.6896,-0.7434,1.7737,-0.0727,#N/A,-0.5897,0.8295,0.399,0.1623,0.2992,-0.0988,-0.2321,-0.7106,-0.3328,1.2801,-0.5263,2.1457,-1.1377,-0.118,-0.2092,-0.5571,1.3363,-0.5279,1.0755,-0.3067,-0.4971,-1.3938
1/5/2015,-1.3986,-0.9303,-1.9056,0,-2.7362,-2.0874,-1.8356,-3.5631,-1.4638,-1.5735,-1.6061,-1.8819,-0.7518,-0.5718,-4.7591,-1.1883,-3.9972,-2.0846,-2.8172,-1.5613,-0.9884,0.7022,-1.669,-0.4755,-0.4254,-5.2786,-0.7387,-1.5628,-1.9737,-0.6926,0.0223,-2.0796,#N/A,-2.848,-0.5426,-2.0553,-0.6984,-2.2553,1.4863,-1.0591,-3.9062,-1.4613,-1.4396,-2.7422,-1.1044,-3.1045,-3.3808,-1.7921,-2.5704,-0.9916,-0.9849,-0.291,-1.61,-2.6446,-1.1276,-2.905,-0.4174,-1.5367,-1.1152,-2.3929,-1.3737,-0.8305,-0.9448,-2.4091,-2.098,-1.9783,-3.1258,-3.1515,-3.3422,-0.4976,-1.992,-0.4712,1.9756,-1.9155,0.4101,-2.3033,#N/A,-2.0517,-1.4448,-1.689,-3.8947,-3.1223,-1.1369,-2.5874,-2.0022,-3.3389,-1.495,-1.6884,-5.0897,-2.0314,-1.8062,-1.9054,-2.8128,-1.3553,-0.7529,-2.2074,-1.6471,-1.5986,-4.2041
1/6/2015,-1.0323,-1.4571,-0.2339,0.7594,-0.5316,0.118,-2.1545,-2.6106,1.5147,-2.1566,-1.3473,-0.495,-0.7575,0.5956,-4.1286,-3.2217,-0.0463,-2.3177,0.0094,-1.6431,0.0743,-2.703,-1.4144,-0.4555,1.2002,-0.6435,-1.0506,-0.1707,0.255,-1.1778,-1.1356,-0.4702,#N/A,-0.7671,0.8344,-0.1652,-0.4914,-1.0664,3.9283,0.3884,-0.9485,-0.5304,1.6417,-2.0865,0.1843,-2.5929,-2.0681,-0.0135,-2.8919,-0.6834,0.5045,0.7706,-0.5882,-2.1312,-1.8637,-2.9919,-0.5029,-0.0059,-1.1278,0.227,-0.9338,1.0092,0.149,-1.3257,-0.3061,-1.4182,-2.88,-3.5205,-3.6631,-2.0145,-0.037,-1.4203,0.8937,-0.8137,2.7834,-1.8613,#N/A,-2.2833,-0.2647,-3.0318,-1.6053,-2.0229,1.3214,-1.554,-0.6564,-3.0321,-0.6898,-0.7213,-1.7121,-1.3045,-1.6675,-2.4679,-0.2162,-0.2228,0.8581,-0.6444,-0.2018,-2.2743,0.5664
1/7/2015,0.0232,1.2705,0.7238,1.2482,1.0133,-0.3831,0.0415,0.3071,2.8408,-0.6536,0,4.0417,2.9241,1.8375,0.6674,3.4925,-0.0833,-0.1713,1.4022,1.7961,1.8041,3.4847,1.085,0.5246,1.1055,1.5497,0.7963,1.2996,2.5572,1.5526,0.8108,1.2898,#N/A,0.138,1.3686,-0.2152,2.2076,0.7249,2.1386,0.9154,2.8728,1.023,0.3207,0.5951,1.7424,0.1526,0.5524,3.7853,2.0637,0.6051,-0.7028,2.6532,2.0656,2.1776,2.0975,0.4745,2.4993,0.7362,-1.9011,2.9745,2.9957,-0.6378,0.119,0.8802,3.4274,0.4795,1.4278,0.927,1.9545,0.8223,0.9242,1.1663,1.874,2.4612,1.8402,1.1379,#N/A,1.06,1.0513,-0.2866,-0.9621,1.4903,1.7413,2.1163,0.9306,1.3259,3.1398,2.099,0.5192,-0.0905,-0.472,-0.2941,1.5525,5.1358,0.7522,1.3398,1.021,2.7013,-0.1562
1/8/2015,0.6025,2.9418,1.8219,1.2096,1.6645,2.4112,1.2043,3.9225,1.0045,2.1735,2.6592,1.0459,1.8174,1.684,2.4941,-0.3602,2.2883,0.3153,3.8422,1.6316,2.1266,-0.0661,1.7032,1.1436,0.0795,1.0249,1.3606,2.4983,1.2402,1.7682,2.0554,2.2533,#N/A,0.772,2.0408,2.6207,0.7863,2.3967,2.0127,0.6078,2.5266,1.0341,0.4025,2.2137,0.3723,2.2346,3.7483,0.4689,1.3821,1.5448,2.3689,2.1106,2.3084,1.4175,1.8601,2.0661,2.3973,2.3386,1.1628,2.1114,1.0393,2.1433,0.9949,0.7348,2.2124,-0.4405,1.4889,1.5048,2.6142,2.5383,0.7692,1.0511,2.8347,1.6137,-0.1437,0.9751,#N/A,0.6836,0.9293,3.7889,1.2416,1.5965,0.8592,1.1679,1.7979,1.5234,1.2662,1.5249,2.2173,2.1747,2.9159,0.3484,1.5554,2.7257,1.5053,1.3413,4.7733,4.9975,-0.1588
1/9/2015,-0.0461,-0.8405,-1.66,-1.1032,-0.141,0.3683,-1.3952,-0.5892,-1.6851,0.4356,-0.5565,-2.7355,-0.6771,-0.2366,-0.0154,-1.2304,-1.9926,-1.2951,0.1073,0.056,-0.051,-2.0472,-0.5495,-0.933,-1.2714,-1.1949,-0.9815,-0.6588,-2.4242,-0.1973,-1.0508,-0.0564,#N/A,-0.1642,0.4615,-1.5678,-1.3629,-1.2284,-0.4614,-0.883,-1.3619,0.4905,0.1415,-1.643,-1.2187,-1.7387,-1.7936,-0.9076,-1.4643,-0.6736,-1.3264,-1.238,-1.1024,-1.2667,0.1908,-1.793,-0.4682,-1.3597,0.7663,-1.8811,-0.3992,-0.8902,-0.2985,-2.0743,-1.7148,-1.6962,-1.6271,-2.2333,-3.3628,-1.4743,1.0178,-0.1141,-0.088,-3.2731,1.0539,-1.7333,#N/A,-1.1749,-0.5104,0.4028,-2.8527,-1.5347,-1.5389,-1.1856,-0.7336,-1.8469,-0.9843,-0.1113,-1.5443,-0.1596,-0.7339,-1.2211,-1.2744,0.7926,-0.2653,-1.4823,-0.936,1.0646,-1.8778
1/12/2015,-0.2766,-1.2503,-0.4852,-0.9063,-1.9218,-0.77,-0.2081,1.1545,0.7024,-1.6781,-1.3121,-0.0304,-0.4131,0.6324,-2.8497,0.3147,-2.1532,-0.7296,-2.4641,-0.8955,-0.7353,2.3625,0.3771,-0.3657,0.0201,-0.8671,-0.4956,3.0836,0.0396,-0.5093,0.8407,-0.282,#N/A,0.3837,0.3675,-1.1987,-0.3431,-0.5445,-0.4156,-0.2532,0.0657,0.2228,0.0942,-1.1959,-0.2146,-0.8595,-0.8784,0.2617,-1.4348,-1.2393,-0.7293,0.7499,-0.1354,-1.0175,-0.4353,-1.7668,0.0941,-0.0521,0,-0.7025,-0.9634,0.6844,0.2695,-0.9311,-0.4481,-1.8004,-1.3829,-0.7877,-0.9842,-1.0022,0.9356,-1.1422,-0.9784,0.5515,0.0967,-0.3906,#N/A,-1.859,-0.4326,-1.2538,-1.1388,-1.217,-0.5582,-0.6586,0.0365,-1.1564,-0.9404,-0.3007,-3.1765,-0.2132,-0.7393,-0.7309,-1.279,0.0684,0.3989,-0.1958,-1.128,-1.654,-2.1533
1/13/2015,-0.7858,-0.5257,0.711,-0.0234,-0.3653,-0.0798,-0.5004,0.3357,-1.6462,0.2365,-0.3519,-2.8589,-0.0726,0.7855,-0.9989,-0.6913,-1.5867,0.737,0.8879,-0.6212,0.0412,1.5777,-0.0961,0.4226,-0.0603,-0.5985,0.6885,1.5117,-0.5812,0.2292,-1.6016,-0.0617,#N/A,-0.3276,-1.007,-0.1496,0.1721,-0.0747,-0.1766,0.3948,-0.0657,0.7728,0.5411,-0.3842,-0.1935,0.017,-1.8777,-0.8874,-0.182,-0.1421,-0.0576,-0.7887,-0.8867,-0.3017,-0.2732,-1.3789,-2.2559,-0.62,1.1407,0.0147,-0.1245,0.2124,0,-1.0808,-0.6608,-0.9358,-0.9348,-0.7146,0.071,-0.7452,0.1604,-0.8155,-3.9522,0.7977,0.0661,-0.8475,#N/A,1.1427,-1.1113,-0.1778,-0.2077,-0.0757,-1.0034,0.3027,0.4287,-1.2294,-0.6645,0.3575,1.5557,1.1928,0.4157,0.9536,0.2279,0.6833,0.0602,0.2923,0.5071,-0.5622,1.0088
1/14/2015,0.3028,-0.8629,-0.4639,-0.1642,-0.2889,0.1306,-0.3353,-3.8139,-2.695,-0.6441,-0.2224,0.489,0.3321,0.7989,0.2883,0.0129,-0.2879,0.9452,-0.3811,-0.1515,0.0926,-0.5338,-0.7172,-0.3433,1.0266,-0.3473,-0.4074,-0.2693,-0.3588,-0.6023,-0.7397,-0.5763,#N/A,1.123,0.1233,-0.7657,-0.7255,-0.4856,0.7236,0.618,-0.6575,-1.0085,0.2574,-1.1572,-1.3896,-3.45,-0.4203,-2.133,-2.526,-1.5768,0.5477,-3.0232,-1.3683,-2.4207,-0.411,-2.4924,-1.4013,0.7289,-1.1278,-0.6926,-1.6674,-0.4451,-0.4778,-1.8052,-1.0508,-0.9447,-2.2759,-1.9392,-3.4055,-0.85,-0.6229,-1.0278,2.1088,-0.5565,0.8837,-2.0921,#N/A,-0.4987,-0.6334,0.4325,-0.2072,-2.5415,-1.2616,-0.6408,-0.6721,-1.7466,-0.2184,-1.1689,0.139,-1.7945,-1.242,0.823,-0.1077,0.3393,0.3851,-2.0017,0.2523,0.7896,-5.6597
1/15/2015,-0.9986,-1.0336,-1.601,-0.4229,-0.8692,0.2621,-0.841,1.4924,-2.5364,-0.7895,-2.9234,-1.2716,0,1.4305,-1.9323,-2.0882,-1.1838,0.1837,-2.714,-0.6166,-0.1644,-0.116,0,-0.1445,1.2154,-1.2199,-0.1899,-2.0969,-0.28,-0.1841,-0.7453,-0.4451,#N/A,0.948,-0.2463,-0.4025,-1.4519,-0.1126,-1.2133,-0.3816,-1.6545,0.1273,1.2487,-1.0341,-0.1748,-3.2037,-0.5029,1.8028,-0.4809,-1.1925,-0.0287,0.889,-0.9604,-1.3667,-0.4402,-5.2369,0.1811,0.6368,-4.1825,-1.5433,-1.6403,0.2768,-0.21,-0.9676,-1.5881,-1.9074,-1.7893,-3.7105,-2.0566,0.4286,-1.8266,-1.1631,-1.8739,-1.0445,0.725,0.2606,#N/A,-2.155,-1.0076,-0.7092,-3.6131,-0.9654,0,-0.9544,-0.0731,-1.9616,-0.0137,-0.6871,-0.148,0.3225,-3.738,-0.3795,-1.4498,-1.3189,-0.7193,-0.9509,1.0936,-2.0021,-0.4256
