DATE,MSWP1,MSWP2,MSWP3,MSWP4,MSWP5,MSWP7,MSWP10,MSWP30
2000-07-01,7.05,7.12,7.14,7.15,7.17,7.2,7.24,7.2
2000-08-01,6.95,6.98,6.99,7.0,7.02,7.04,7.07,7.05
2000-09-01,6.8,6.79,6.81,6.83,6.86,6.92,7.0,7.04
2000-10-01,6.7,6.65,6.67,6.7,6.73,6.8,6.88,6.94
2000-11-01,6.65,6.58,6.61,6.66,6.7,6.78,6.85,6.91
2000-12-01,6.18,6.06,6.07,6.11,6.14,6.2,6.27,6.41
2001-01-01,5.38,5.44,5.56,5.66,5.74,5.87,6.02,6.26
2001-02-01,5.14,5.28,5.44,5.57,5.68,5.84,6.01,6.29
2001-03-01,4.77,4.95,5.17,5.33,5.46,5.65,5.82,6.14
2001-04-01,4.51,4.81,5.12,5.33,5.5,5.75,6.0,6.41
2001-05-01,4.29,4.8,5.19,5.45,5.64,5.9,6.15,6.49
2001-06-01,4.06,4.63,5.08,5.37,5.58,5.85,6.07,6.41
2001-07-01,3.99,4.58,5.05,5.36,5.57,5.84,6.05,6.38
2001-08-01,3.73,4.27,4.74,5.06,5.29,5.57,5.8,6.18
2001-09-01,3.05,3.69,4.2,4.56,4.82,5.18,5.49,6.04
2001-10-01,2.52,3.2,3.8,4.21,4.5,4.9,5.24,5.84
2001-11-01,2.4,3.2,3.84,4.27,4.57,4.95,5.25,5.74
2001-12-01,2.44,3.56,4.33,4.8,5.11,5.5,5.82,6.2
2002-01-01,2.37,3.42,4.18,4.66,4.98,5.37,5.71,6.11
2002-02-01,2.45,3.39,4.08,4.54,4.87,5.28,5.62,6.08
2002-03-01,2.88,3.96,4.58,4.98,5.26,5.64,5.95,6.31
2002-04-01,2.8,3.84,4.45,4.85,5.13,5.51,5.83,6.23
2002-05-01,2.66,3.65,4.25,4.65,4.93,5.33,5.67,6.17
2002-06-01,2.45,3.39,3.97,4.36,4.65,5.06,5.42,6.01
2002-07-01,2.14,2.95,3.56,3.99,4.31,4.76,5.17,5.87
2002-08-01,1.9,2.51,3.08,3.52,3.88,4.37,4.81,5.54
2002-09-01,1.86,2.38,2.84,3.2,3.51,3.99,4.44,5.2
2002-10-01,1.81,2.32,2.81,3.2,3.53,4.05,4.54,5.35
2002-11-01,1.64,2.26,2.79,3.2,3.52,4.03,4.53,5.37
